,INDICATOR NAME ,Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),Agricultural land (% of land area),Agricultural raw materials exports (% of merchandise exports),Agricultural raw materials imports (% of merchandise imports),"Agriculture, value added (% of GDP)",Arable land (% of land area),Average time to clear exports through customs (days),"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)","Commercial bank branches (per 100,000 adults)",Commercial service exports (current US$),Commercial service imports (current US$),Consumer price index (2005 = 100),Cost of business start-up procedures (% of GNI per capita),Cost to export (US$ per container),Cost to import (US$ per container),CPIA building human resources rating (1=low to 6=high),CPIA business regulatory environment rating (1=low to 6=high),CPIA debt policy rating (1=low to 6=high),CPIA economic management cluster average (1=low to 6=high),CPIA efficiency of revenue mobilization rating (1=low to 6=high),CPIA equity of public resource use rating (1=low to 6=high),CPIA financial sector rating (1=low to 6=high),CPIA fiscal policy rating (1=low to 6=high),CPIA gender equality rating (1=low to 6=high),CPIA macroeconomic management rating (1=low to 6=high),CPIA policies for social inclusion/equity cluster average (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),CPIA property rights and rule-based governance rating (1=low to 6=high),CPIA public sector management and institutions cluster average (1=low to 6=high),CPIA quality of budgetary and financial management rating (1=low to 6=high),CPIA quality of public administration rating (1=low to 6=high),CPIA social protection rating (1=low to 6=high),CPIA structural policies cluster average (1=low to 6=high),CPIA trade rating (1=low to 6=high),"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",Container port traffic (TEU: 20 foot equivalent units),"Current account balance (BoP, current US$)",Customs and other import duties (% of tax revenue),Customs and other import duties (current LCU),Documents to export (number),Documents to import (number),Employment in agriculture (% of total employment),Employment in industry (% of total employment),Employment in services (% of total employment), Expense (% of GDP),Expense (current LCU),Exports of goods and services (% of GDP),"Exports of goods and services (BoP, current US$)","Fertility rate, total (births per woman)",Firms expected to give gifts in meetings with tax officials (% of firms),Firms with female participation in ownership (% of firms),Fixed broadband Internet subscribers,Fixed broadband Internet subscribers (per 100 people),Food exports (% of merchandise exports),Food imports (% of merchandise imports),"Foreign direct investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net inflows (BoP, current US$)","Foreign direct investment, net outflows (% of GDP)",Fuel exports (% of merchandise exports),Fuel imports (% of merchandise imports),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),GINI index,"Goods exports (BoP, current US$)","Goods imports (BoP, current US$)","Health expenditure, public (% of GDP)","Health expenditure, public (% of government expenditure)",High-technology exports (% of manufactured exports),High-technology exports (current US$),Household final consumption expenditure (annual % growth),Household final consumption expenditure (current US$),ICT goods exports (% of total goods exports),ICT goods imports (% total goods imports),"ICT service exports (% of service exports, BoP)","ICT service exports (BoP, current US$)",Imports of goods and services (% of GDP),Imports of goods and services (annual % growth),"Imports of goods and services (BoP, current US$)",Income share held by highest 10%,"Industry, value added (% of GDP)","Industry, value added (annual % growth)","Industry, value added (current US$)","Inflation, consumer prices (annual %)",Informal payments to public officials (% of firms),"International tourism, expenditures (% of total imports)","International tourism, expenditures (current US$)","International tourism, receipts (% of total exports)","International tourism, receipts (current US$)",Internet users (per 100 people),Labor force with primary education (% of total),Labor force with secondary education (% of total),Labor force with tertiary education (% of total),"Lead time to export, median case (days)","Lead time to import, median case (days)","Life expectancy at birth, total (years)",Liner shipping connectivity index (maximum value in 2004 = 100),"Literacy rate, adult total (% of people ages 15 and above)",Logistics performance index: Ability to track and trace consignments (1=low to 5=high),Logistics performance index: Competence and quality of logistics services (1=low to 5=high),Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),Logistics performance index: Overall (1=low to 5=high),Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),Management time dealing with officials (% of management time),Manufactures exports (% of merchandise exports),Manufactures imports (% of merchandise imports),"Manufacturing, value added (% of GDP)","Manufacturing, value added (annual % growth)","Manufacturing, value added (current US$)",Market Access Overall Trade Restrictiveness Index ,Market Access Overall Trade Restrictiveness Index agriculture,Market Access Overall Trade Restrictiveness Index manufacturing ,Market Access Tariff Trade Restrictiveness Index,Market Access Tariff Trade Restrictiveness Index agriculture,Market Access Tariff Trade Restrictiveness Index manufacturing ,Merchandise exports (current US$),Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports),Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports),Merchandise exports to developing economies in South Asia (% of total merchandise exports),Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports),Merchandise exports to developing economies outside region (% of total merchandise exports),Merchandise exports to developing economies within region (% of total merchandise exports),Merchandise exports to economies in the Arab World (% of total merchandise exports),Merchandise exports to high-income economies (% of total merchandise exports),Merchandise imports (current US$),Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports),Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports),Merchandise imports from developing economies in South Asia (% of total merchandise imports),Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports),Merchandise imports from developing economies outside region (% of total merchandise imports),Merchandise imports from developing economies within region (% of total merchandise imports),Merchandise imports from economies in the Arab World (% of total merchandise imports),Merchandise imports from high-income economies (% of total merchandise imports),Merchandise trade (% of GDP),Military expenditure (% of central government expenditure),Military expenditure (% of GDP),Mineral rents (% of GDP),Mobile cellular subscriptions (per 100 people),"Motor vehicles (per 1,000 people)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net ODA received (% of imports of goods and services),Net official development assistance received (current US$),New businesses registered (number),"Official exchange rate (LCU per US$, period average)",Overall Trade Restrictiveness Index all products,Overall Trade Restrictiveness index - agricultural,Overall Trade Restrictiveness Index manufacturing ,Population ages 0-14 (% of total),Population ages 65 and above (% of total),Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Poverty headcount ratio at $2 a day (PPP) (% of population),Procedures to enforce a contract (number),Procedures to register property (number),Proportion of seats held by women in national parliaments (%),"Public and publicly guaranteed debt service (% of exports, excluding workers' remittances)",Public and publicly guaranteed debt service (% of GNI),"Public spending on education, total (% of GDP)","Public spending on education, total (% of government expenditure)",Pump price for diesel fuel (US$ per liter),Pump price for gasoline (US$ per liter),"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)",Rail lines (total route-km),Ratio of girls to boys in primary and secondary education (%),"Revenue, excluding grants (% of GDP)","Roads, paved (% of total roads)",Rural population,Rural population (% of total population),Rural population growth (annual %),"School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)","Service exports (BoP, current US$)","Service imports (BoP, current US$)","Services, etc., value added (% of GDP)","Services, etc., value added (annual % growth)","Services, etc., value added (current US$)",Start-up procedures to register a business (number),Tariff Trade Restrictiveness Index all products,Tariff Trade Restrictiveness Index agriculture,Tariff Trade Restrictiveness Index manufacturing ,Tax revenue (% of GDP),Tax revenue (current LCU),Taxes on exports (% of tax revenue),Taxes on exports (current LCU),Taxes on international trade (% of revenue),Taxes on international trade (current LCU),Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),Telephone lines (per 100 people),Time required to obtain an operating license (days),Time required to register property (days),Time required to start a business (days),Time to export (days),Time to import (days),Time to prepare and pay taxes (hours),Time to resolve insolvency (years),Total tax rate (% of commercial profits),Trade (% of GDP),Trade in services (% of GDP),"Unemployment, total (% of total labor force)",Urban population,Urban population (% of total),Urban population growth (annual %),Wholesale price index (2005 = 100),"Workers' remittances, receipts (BoP, current US$)"
REGION,COUNTRY NAME ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Asia ,Afghanistan,15.6,107.21,93.55,58.12,10.77,0,29.92,11.95,14.64,,2.25,,,159.99,25.8,"3,545.00","3,830.00",3.5,2.5,2.5,3,3,3,2,3,2,3.5,2.7,2.5,1.5,2.5,3.5,2.5,2.5,2.5,3,2,0,,41.57,"27,684,941,828.00",10,10,,,,46.12,"369,382,969,344.85",0,,6.29,28.81,2.81,"1,500.00",0,40.05,13.69,,0.44,"75,650,000.00",,,20.86,"20,343,461,030.38",8.2,575.97,5.22,27.82,,,1.58,1.59,,,,"15,654,316,924.90",,0.37,,,0,-99.99,,23.21,22.17,-100,"3,306,723,826.68",13.8,41.49,,,,,3.65,,,,2,4,48.28,0,,2.37,2.09,2.24,2.22,2.61,2.24,1.87,6.81,19.63,19.08,13.12,13.09,"1,957,737,901.18",0.2349387,0.1533269,0.2571439,0.066159,0.093876,0.0586177,"350,000,000.00",0.16,3.6,52.65,0.09,16.74,52.65,3.79,30.62,"6,000,000,000.00",0.19,0.64,28.37,,26.9,28.37,0.83,44.72,28.01,4.63,1.76,0,41.39,29,80.82,42.38,,"6,426,380,000.00",,46.75,,,,46.08,2.25,52.72,2.72,"35,320,445.00",,47,9,27.7,,0.05,,,1,1.15,,,63.77,10.06,,"25,857,571.14",75.2,2.29,97.08,45.54,3.33,,,47.92,-100,"7,148,011,258.23",4,,,,8.31,"66,593,592,311.28",0.03,"19,625,391.00",4.55,"27,711,173,240.00",,0.45,13.75,250,7,74,77,275,2,36.4,0,,,"8,527,496.86",24.8,4.34,,
Eastern Europe,Albania,,16.09,46.86,43.94,2.39,1,20.05,22.34,1.91,4.2,22.59,"2,191,642,991.03","1,992,078,859.62",119.33,29,745,730,,,,,,,,,,,,,,,,,,,,,86875,"-1,402,900,132.87",,,7,8,44.1,19.9,36,,,30.01,"3,791,063,056.32",1.54,22.4,10.83,"105,519.00",3.29,4.47,17.93,"1,109,371,030.43",9.36,"1,109,557,915.39",0,17.97,13.82,"12,959,563,902.40",3,"4,029.73",2.63,34.51,"1,547,895,096.92","4,305,346,488.57",2.81,8.42,0.89,"8,585,833.00",2.72,"11,285,459,554.31",0.84,4.11,4.78,"107,326,935.17",51,3.21,"6,315,636,022.47",28.99,19.38,7,"2,150,453,913.37",3.45,57.72,23.02,"1,454,000,000.00",46.95,"1,780,000,000.00",45,,,,1.73,2,76.9,4.54,95.94,2.39,2.39,2.64,2.07,3.01,2.46,2.14,18.66,62.05,63.57,19.38,,"2,150,453,913.37",0.1747531,0.3468749,0.1676074,0.044475,0.0915724,0.0425197,"1,956,383,413.93",0.21,1.18,0.01,0.02,7.36,10.67,2,81.89,"5,379,323,932.21",1.58,0.66,0.95,0.05,10.6,16.09,0.83,73.29,51.87,,1.6,0.54,141.93,120,,2.9,5.01,"340,700,000.00","2,045.00",100.89,0.0691712,0.1375879,0.0544641,22.06,9.85,116.94,0.36,"3,215,988.00",4.25,39,6,16.4,9.86,3.5,,,1.4,1.46,3.9,423,98.19,,,"1,666,227.68",52,-0.86,86.9,88.94,,"2,243,167,959.40","2,010,289,533.91",60.57,,"6,721,063,813.63",5,0.051653,0.0674576,0.0482556,,,,,,,2.8,10.39,21.18,33,5,19,18,371,2,38.5,81.02,35.87,13.8,"1,538,056.32",48,1.7,112.38,"924,317,333.09"
North Africa,Algeria,99.3,6.58,45.86,17.35,0.02,1.61,6.92,3.15,14.14,2.8,5.19,"3,519,000,000.00","11,549,000,000.00",127.74,12.1,"1,248.00","1,318.00",,,,,,,,,,,,,,,,,,,,,265628.4552,"12,146,000,000.00",4.53,"158,838,501,032.68",8,9,,,,25.48,"2,556,890,220,875.67",30.83,"60,656,000,000.00",2.26,15.01,15.03,"900,000.00",2.54,0.56,16.3,"2,044,000,000.00",1.4,"2,264,000,000.00",0.14,97.35,2.13,"188,681,099,191.02",2.5,"5,244.03",1.04,,"57,090,000,000.00","38,886,000,000.00",4.99,8.12,0.5,"5,141,641.00",-19.52,"42,379,601,755.70",0,2.96,5.02,"179,000,000.00",21.5,16.66,"50,792,000,000.00",,62.12,3.3,"94,871,358,604.97",4.52,66.56,1.17,"575,000,000.00",0.79,"382,000,000.00",12.5,,,,4.58,7.07,72.85,31.06,,2.26,2.24,2.7,1.97,2.81,2.36,2.06,25.06,1.79,78.43,5.62,-13.92,"7,315,406,674.28",0.021139,0.4280772,0.0187879,0.0051053,0.1050199,0.0045281,"73,390,000,000.00",4.63,3.23,2.76,0.23,14.7,3.23,3.46,82.08,"46,453,000,000.00",6.39,2.92,1.98,0.98,28.21,2.92,4.45,68.18,60.05,15,3.5,0.26,92.42,112,0.91,0.13,0.36,"198,320,000.00","10,544.00",72.94,0.3262317,0.4986827,0.2966052,26.81,4.64,14.89,1.43,"35,980,193.00",,45,10,7.7,0.62,0.26,4.34,20.27,0.19,0.32,3,"3,512.00",98.44,37.28,74.03,"11,881,849.68",33.5,-0.42,110.17,94.93,30.76,"3,566,000,000.00","11,906,000,000.00",30.96,3.3,"47,281,798,833.52",14,0.0964803,0.1346957,0.089915,34.91,"3,503,053,424,098.18",0.07,"2,493,657,071.24",4.45,"166,464,934,095.12",,8.24,19.3,48,25,17,27,451,2.5,72,52.33,9.55,11.4,"23,586,358.32",66.5,2.44,122.98,"66,000,000.00"
Southern Africa,Angola,26.2,157.3,95.07,46.76,,,10.06,3.21,6.72,2.7,1.29,"856,877,283.29","16,027,654,938.47",211.31,118.9,"1,850.00","2,690.00",3,2,3,3,2.5,2.5,2.5,3,3.5,3,2.8,2.5,2,2.3,2.5,2,2.5,2.67,3.5,2.5,0,"7,421,051,563.51",,,11,8,,,,,,61.78,"51,451,730,498.67",5.44,34.24,56.57,"20,000.00",0.1,,,"-4,567,640,566.41",-3.91,"-3,227,211,182.45",1.63,,,"100,990,011,819.86",3.4,"5,147.71",0.57,,"50,594,853,215.38","16,666,858,026.86",4.06,7.19,,,,"50,781,582,829.13",,,5.45,"33,950,000.00",40.71,8.47,"35,421,222,361.08",,60.17,-1.69,"60,766,059,934.13",13.47,48.92,0.78,"275,000,000.00",1.41,"726,000,000.00",10,,,,6,8,50.65,11.27,69.96,2.54,2.02,2.38,1.75,3.01,2.25,1.69,12.17,,,6.46,15,"6,525,717,197.58",0.0046648,0.5899788,0.004237,0.001296,0.0290506,0.0012757,"65,500,000,000.00",1.74,0.01,9.15,3.74,54.14,3.74,0.01,42.13,"21,000,000,000.00",8.05,0.51,4.38,7.34,31.78,7.34,0.68,60.68,90.94,,4.52,0,46.69,38,,0.32,0.54,"238,230,000.00",,93.74,,,,46.25,2.48,15.31,2.77,"19,618,432.00",,46,7,38.6,4.41,3.06,3.38,8.52,0.43,0.65,2.3,,78.87,,,"7,918,993.48",41.5,0.65,124.47,31.31,3.71,"856,877,283.29","18,754,364,334.22",29.77,12,"30,065,480,172.21",8,,,,,,,,,,28.6,1.59,34.7,184,68,48,45,282,6.2,53.2,102.48,23.78,,"11,162,918.52",58.5,4.35,,"17,972,037.00"
Caribbean,Antigua and Barbuda,,,,29.55,0,1.62,2,18.18,,,28.54,"466,586,701.48","215,410,448.89",111.78,12.5,"1,202.00","1,633.00",,,,,,,,,,,,,,,,,,,,,24615,"-166,477,299.63",,,5,5,2.8,15.6,81.6,,,46.28,"523,847,207.78",,,,"7,119.00",8.03,50.63,29.61,"96,679,207.78",8.38,"96,679,207.78",,0,0.71,"1,128,708,616.85",-4.17,"12,595.51",-5.14,,"45,328,421.11","453,883,555.19",3.79,16.74,0.06,"1,208.00",,"1,035,591,858.08",2.16,4.23,,,56.51,,"680,110,600.74",,19.93,-20.15,"197,241,629.27",3.37,,7.5,"51,000,000.00",57.46,"301,000,000.00",80,,,,,,,2.4,98.95,,,,,,,,,47.59,66.98,1.85,-15,"18,345,348.82",0.2361878,0.3589597,0.232279,0.0636571,0.1132171,0.0620792,"50,000,000.00",68.1,,7.14,,,68.1,,20.87,"750,000,000.00",4.3,,0.03,,,4.3,,50,54.6,,,0,189.35,230,,1.7,2.64,"19,070,000.00",,2.7,0.1457912,0.1679742,0.1380487,,,201.61,1.01,"89,612.00",,45,7,10.5,,,2.46,9.8,0.96,0.99,,,95.64,,,"61,830.87",69.7,1.14,101.51,105.44,16.36,"478,518,786.67","226,227,045.56",78.07,-7.26,"772,562,340.08",8,0.1457912,0.1679742,0.1380487,,,,,,,,40.94,,26,21,16,15,207,3,41.5,102.79,61.08,,"26,879.13",30.3,0.77,,"12,471,663.33"
South and Central America,Argentina,97.2,55.27,54.58,51.34,1.23,1.09,9.09,11.33,7.33,2.7,13.28,"13,994,681,098.19","16,070,947,966.52",168.91,11.9,"1,480.00","1,810.00",,,,,,,,,,,,,,,,,,,,,2018423.934,"21,185,854.38",,,7,7,1.2,23.1,75.2,,,22.55,"98,461,546,148.31",2.21,8.7,38.01,"3,862,354.00",9.56,51.15,2.63,"5,755,148,181.44",1.62,"7,243,148,181.44",0.33,8.13,7.47,"445,988,571,981.99",8.87,"10,940.60",7.93,44.49,"84,268,890,000.00","70,728,540,185.00",6.33,14.65,7.45,"1,634,776,258.00",8.47,"304,872,654,951.10",0.11,9.06,13.34,"1,893,734,762.05",21.57,26,"87,151,434,151.52",32.3,26.33,6,"107,256,513,197.92",9.47,18.15,9.38,"6,375,000,000.00",6.93,"5,629,000,000.00",36,,,,3.73,3.79,75.63,30.62,97.73,3.15,3.03,3.15,2.63,3.82,3.1,2.75,20.78,33.18,85.17,17.83,7,"72,631,620,864.19",0.1436763,0.2503141,0.0804561,0.0318241,0.0553413,0.017882,"84,270,000,000.00",41.86,6.51,2.33,2.2,26.05,41.86,5.37,30.28,"73,922,300,000.00",39.92,0.32,1.12,0.27,19.29,39.92,0.54,36.55,33.8,,0.9,0.64,141.79,314,,0.03,0.15,"121,120,000.00","11,924.00",4.11,0.0916354,0.09625,0.0914045,24.62,10.68,14.77,0.87,"40,764,561.00",1.87,36,7,38.5,8.49,1.99,6.03,13.95,1.05,0.96,3.7,"25,023.00",104.37,,,"3,071,340.58",7.6,-1.73,117.52,88.53,71.23,"14,192,656,148.31","16,422,893,966.52",64.57,14.43,"263,018,040,683.10",14,0.0514451,0.0252858,0.0527538,,,,,,,,24.74,176.11,53,26,13,16,415,2.8,108.2,44.12,6.86,8.6,"37,341,035.42",92.4,1.09,197.51,"558,187,490.59"
West Asia ,Armenia,,34.21,45.28,61.55,1.12,0.91,20.66,16.05,3.3,2.9,17.5,"801,674,023.95","1,100,800,542.32",140.95,2.9,"1,815.00","2,195.00",4,4,4.5,4.67,3.5,4.5,4,5,4,4.5,4,3,3.5,3.6,4.5,3.5,4.5,4,4,3,0,"-1,120,194,818.70",4.97,"29,366,720,800.00",5,8,44.2,16.8,39,22.73,"795,755,352,860.00",23.48,"2,404,584,973.39",1.74,13.33,31.78,"85,177.00",2.75,16.72,17.95,"584,632,482.55",6.47,"662,628,280.26",0.76,3.12,18.03,"10,247,788,877.45",4.6,"3,305.49",4.32,30.86,"1,578,005,425.78","3,664,537,651.10",2.02,6.42,1.85,"3,759,946.00",3.05,"8,730,635,102.02",0.75,4.66,12.34,"101,994,951.25",48.09,-3.49,"4,790,495,918.97",25.4,37.14,7.54,"3,554,778,755.23",7.65,15.96,11.06,"466,000,000.00",23.54,"456,000,000.00",44,10.6,66.4,22.9,,,73.78,0,99.53,2.26,2.59,2.43,2.1,3.4,2.52,2.32,10.25,24.22,55.91,10.56,7,"1,010,620,654.55",0.0642766,0.1248598,0.0333043,0.0132582,0.0285752,0.0054276,"1,329,500,000.00",0.97,8.22,0.57,0.09,13.12,38.67,0.89,47.12,"4,151,500,000.00",2.25,5.84,1.41,0.41,22.63,42.98,1.68,34.32,51.16,19.81,4.5,1.67,125.01,103,16.1,3.53,7.09,"342,820,000.00","2,698.00",372.5,,,,20.2,10.97,108.57,0.26,"3,100,236.00",12.43,49,3,9.2,2.04,0.61,3.21,12.99,0.99,1.08,2.7,826,102.19,22.38,93.56,"1,122,422.14",36.3,0.45,102.54,92.04,51.53,"826,579,547.61","1,125,958,267.87",42.2,-0.06,"4,038,691,489.88",3,,,,16.87,"590,658,379,399.94",,,3.6,"29,366,720,800.00",,19.16,20.03,7,8,13,18,500,1.9,40.9,71.57,19.05,28.6,"1,969,649.86",63.7,0.1,146.74,"83,804,402.39"
Pacific,Australia,,14.1,48.46,53.24,2.24,0.68,2.28,6.14,,5.1,31.61,"48,490,309,081.50","51,469,995,124.69",119.7,0.7,"1,060.00","1,119.00",,,,,,,,,,,,,,,,,,,,,6536490.84,"-31,990,465,672.63",2.26,"6,276,000,000.00",6,5,3.3,21.1,75.5,26.61,"334,048,000,000.00",21.43,"261,340,483,609.59",1.92,,,"5,385,000.00",24.18,11.29,5.39,"6,049,837,308.99",2.7,"30,576,304,122.71",2.17,30.86,14.22,"1,371,763,885,598.91",1.85,"60,642.24",0.4,,"212,850,174,528.09","194,670,372,351.04",5.56,16.84,11.88,"3,826,224,230.00",3.3,"726,339,872,295.37",0.96,10.64,4.89,"2,213,174,504.88",19.93,10.74,"246,140,367,475.73",,19.81,0.97,"208,946,208,893.25",3.39,,10.67,"21,459,000,000.00",14.19,"27,864,000,000.00",75.89,27.3,38.9,33.8,2.64,2.83,81.7,28.34,,3.87,3.77,3.78,3.68,4.16,3.84,3.78,,16.63,74.83,9.32,0.97,"98,344,103,731.76",0.0816542,0.2181616,0.0493785,0.0284996,0.0837924,0.0154262,"271,103,305,156.60",1.38,0.56,7.69,1.31,45.18,,2.81,53.78,"243,699,000,000.00",1.8,0.38,1.14,1.3,39.02,,1.99,56.39,36.6,7.52,2.03,6.63,101.04,688,,,,,"89,960.00",0.97,0.1129992,0.2953888,0.0982353,18.95,13.69,2.9,1.43,"22,620,600.00",,28,5,24.7,,,5.11,12.91,1.23,1.27,5.1,"8,615.00",97.07,24.62,43.45,"2,430,678.20",10.9,-0.06,105.07,131.29,79.92,"48,490,309,081.50","51,469,995,124.69",77.91,2.4,"821,953,737,171.68",2,0.0526551,0.0077243,0.0562921,22.15,"277,999,000,000.00",0,"13,000,000.00",2.03,"6,289,000,000.00",,38.89,,5,2,9,8,109,1,47.7,41.36,8.83,5.2,"19,869,121.80",89.1,1.78,119.18,
Europe,Austria,,10.96,47.91,38.43,1.82,2.3,1.53,16.63,,5,11.39,"61,084,326,225.00","42,214,844,534.98",113.05,5.2,"1,180.00","1,195.00",,,,,,,,,,,,,,,,,,,,,350461,"7,987,724,908.76",0,"70,000.00",4,5,5.2,24.9,69.9,39.57,"108,757,350,000.00",56.63,"235,300,027,948.85",1.44,,,"2,002,000.00",23.85,6.93,7.29,"-18,072,253,874.57",3.34,"13,995,093,100.43",7.66,3.22,10.97,"418,483,975,383.33",3.11,"49,707.09",2.75,,"173,631,758,744.11","183,279,066,908.55",8.17,16.19,11.91,"13,721,385,414.00",0.62,"205,415,455,263.16",3.95,5.8,6.5,"4,006,979,141.60",53.65,6.97,"225,614,858,080.36",,29.08,2.94,"98,966,972,368.42",3.27,,6.46,"12,215,000,000.00",10.34,"20,931,000,000.00",72.73,16.8,64.1,19.1,2,3.74,80.38,0,,3.83,3.7,3.78,3.49,4.08,3.76,3.68,,80.29,73.58,19.12,6.69,"65,065,459,210.53",,,,,,,"179,186,592,000.00",1.62,1.11,0.7,0.57,15.06,,1.73,84.82,"191,595,158,400.00",0.32,1.36,0.33,0.53,11.96,,1.15,88,82.6,2.22,0.88,0.05,145.84,569,,,,,"3,228.00",,,,,14.53,17.86,101.78,0.35,"8,419,000.00",,25,3,27.9,,,5.47,11.21,1.55,1.63,4.7,"5,066.00",97.1,36.58,100,"2,718,285.80",32.4,-0.38,99.15,98.93,60.2,"61,668,269,204.74","42,335,791,171.81",69.39,2.07,"236,147,378,947.37",8,,,,18.69,"51,354,090,000.00",,,0,"70,000.00",,38.66,,21,28,7,8,170,1.1,53.1,110.29,24.85,4.4,"5,671,485.20",67.6,0.62,120.03,"434,117,956.09"
